/// Translator Credits: Name ///
Translator Name|kor$A토픽(topicular)|spa$Garrakx|fre$Daratrix|rus$Lex|chi$矛击汉化组
This BepInEx Plugin has no Option Interface.|kor$이 BepInEx 플러그인은 설정 화면이 없습니다.|spa$Este BepInEx Plugin no se puede configurar|fre$Ce Plugin BepInEx ne peut pas être configuré.|rus$Этот плагин BepInEx не может быть настроен|chi$此BeplnEx插件没有任何选项界面。
There was an issue initializing OptionInterface.|kor$이 모드의 설정을 여는 중 문제가 발생했습니다.|spa$Hubo un problema al inicializar OptionInterface|fre$Une erreur est survenue pendant l'initialisation d'OptionInterface.|rus$При инициализации OptionInterface возникла ошибка|chi$初始化选项界面时出现问题。
No Mod can be configured|kor$설정할 수 있는 모드 없음|spa$El Mod no se puede configurar|fre$Aucun Mod ne peut être configuré|rus$Ни один мод не может быть настроен|chi$没有模组可以配置
This issue might be resolved by downloading the latest Config Machine.|kor$최신 Config Machine으로 업데이트하면 해결될 수 있습니다.|spa$Este problema puede resolverse descargando la última versión de Config Machine.|fre$Cette erreur peut être corrigée en téléchargeant la dernière version de Config Machine.|rus$Эту ошибку можно устранить, загрузив последнюю версию Config Machine.|chi$此问题或许可以通过下载最新版的Config Machine来解决。
Mod List|kor$모드 목록|spa$Lista de Mods|fre$Liste des Mods|rus$Список модов|chi$模组列表
Configurable Mod List|kor$모드 설정 목록|spa$Lista de Mods configurables|fre$Liste des Mods configurables|rus$Список настраиваемых модов|chi$可配置的模组列表
Other Mod List|kor$기타 모드 목록|spa$Lista de otros Mods|fre$Liste des autres Mods|rus$Список других модов|chi$其他模组列表
Configurable Mods|kor$모드 설정|spa$Mods configurables|fre$Mods configurables|rus$Настраиваемые моды|chi$可配置模组
Other Mods|kor$기타 모드|spa$Otros Mods|fre$Autres Mods|rus$Другие моды
Mods|kor$모드|spa$Mods|fre$Mods|rus$Моды|chi$Mods
Scroll Up|kor$위로 이동|spa$Subir|fre$Défiler vers le haut|rus$Прокрутить вверх|chi$向上滚动
Scroll Down|kor$아래로 이동|spa$Bajar|fre$Défiler vers le bas|rus$Прокрутить вниз|chi$向下滚动
Click to Display Config Machine ChangeLog|kor$클릭해서 Config Machine의 변경 내역 보기|spa$Haz clic para mostrar la lista de cambios de Config Machine|fre$Cliquez pour afficher l'historique des mises à jour Config Machine|rus$Нажмите, чтобы отобразить лог изменений Config Machine|chi$单击以显示Config Machine的更新日志
Config Machine ChangeLog|spa$Config Machine Lista de cambios|kor$Config Machine 변경 내역|fre$Historique des mises à jour Config Machine|rus$Лог изменений Config Machine|chi$Config Machine更新日志
This Plugin contains types of settings that are not supported by Config Machine:|kor$이 플러그인에는 Config Machine이 지원하지 않는 설정이 있습니다:|spa$Este Plugin contiene ciertas opciones que no funcionan con Config Machine:|fre$Ce Plugin contient des type de paramètre qui ne sont pas supportés par Config Machine:|rus$Этот плагин содержит типы настроек, которые не поддерживаются Config Machine:|chi$此插件包含Config Machine不支持的设定：
Go to [BepInEx]-[config] folder and use Notepad to edit those settings.|kor$[BepInEx]-[config] 폴더에 가서 메모장으로 설정을 수정하세요.|spa$Navega a la carpeta [BepInEx]-[config] y usa el bloc de notas para editar esas opciones.|fre$Allez dans le répertoire [BepInEx]-[config] et utilisez BlocNote pour éditer ces options.|rus$Перейдите в папку [BepInEx]-[config] и используйте Блокнот для редактирования этих настроек.|chi$到[BeplnEx]-[config]文件夹使用记事本来编辑这些设定。
Pasted <Text> from Clipboard|kor$클립보드에서 <Text> 붙여넣음|spa$Pegado <Text> desde el Portapapeles|fre$Collé <Text> depuis le presse-papier|rus$<Text> вставлен из буфера обмена|chi$从剪贴板粘贴<Text>
Pasted <Text> from Clipboard to <ObjectName>|kor$클립보드에서 <ObjectName>으로 <Text> 붙여넣음|spa$Pegado <Text> desde el Portapapeles a <ObjectName>|fre$Collé <Text> du presse-papier vers <ObjectName>|rus$<Text> вставлен в <ObjectName> из буфера обмена|chi$从剪贴板粘贴<Text>到<ObjectName>
Copied <Text> to Clipboard|kor$클립보드로 <Text> 복사함|spa$Copiado <Text> al Portapapeles|fre$<Text> copié vers le presse-papier|rus$<Text> скопирован из буфера обмена|chi$拷贝<Text>到剪贴板
Copied <Text> to Clipboard from <ObjectName>|kor$<ObjectName>에서 클립보드로 <Text> 복사함|spa$Copiado <Text> al Portapapeles desde <ObjectName>|fre$<Text> copié vers le presse-papier depuis <ObjectName>|rus$<Text> скопирован <ObjectName> из буфера обмена|chi$从<ObjectName>拷贝<Text>到剪贴板
<ModID> had an issue with saving its configuration|kor$<ModID> 설정 저장 중 문제 발생|chi$<ModID>保存它的配置时出现问题
<ModID> has saved its configuration|kor$<ModID> 설정 저장됨|chi$<ModID>已保存它的配置

/// Description for provided UIelements ///
Click to Check/Uncheck|kor$클릭해서 체크 및 해제|spa$Click para marcar/desmarcar|fre$Cliquez pour cocher/décocher|rus$Нажмите, чтобы отметить/снять отметку|chi$单击以选中/取消选中
Type Hex Code for desired Colour|kor$키보드로 색상 Hex 코드를 입력|spa$Escribe el código Hex para Color deseado|fre$Tapez le code hexadécimal de la couleur désirée|rus$Введите HEX код желаемого цвета|chi$输入所需颜色的十六进制代码
Select Colour with RGB value|kor$RGB 값으로 색상 선택|spa$Selecciona el color con valores RGB|fre$Choisir la couleur via valeur RVB|rus$Выберите цвет со значением RGB|chi$以RGB值来选择颜色
Select Colour with HSL square|kor$HSL 값으로 색상 선택|spa$Selecciona el color con cuadro HSL|fre$Choisir la couleur via carré TSL|rus$Выберите цвет с помощью квадрата HSL|chi$以HSL板块来选择颜色
Select Colour with Palette|kor$기본 팔레트에서 색상 선택|spa$Selecciona el color con la paleta|fre$Choisir la couleur via la palette|rus$Выберите цвет с помощью палитры|chi$从色板选择颜色
Hold your mouse button and Drag up/down to adjust value|kor$마우스를 위아래로 드래그해서 조정|spa$Mantén click y arrastra arriba/abajo para ajustar el valor|fre$Maintenez le clic et tirez vers le haut/bas pour ajuster la valeur|rus$Удерживайте мышь и перетащите вверх/вниз, чтобы настроить значение|chi$按住并上下拖拽以调整数值
Hold your mouse button and Drag left/right to adjust value|kor$마우스를 좌우로 드래그해서 조정|spa$Mantén click y arrastra izquierda/derecha para ajustar el valor|fre$Maintenez le clic et tirez vers la gauche/droite pour ajuster la valeur|rus$Удерживайте мышь и перетащите влево/вправо, чтобы настроить значение|chi$按住并左右拖拽以调整数值
Click and Type text|kor$클릭해서 키보드로 입력|spa$Haz click y escribe el texto|fre$Cliquez pour taper du texte|rus$Нажмите и введите текст|chi$单击以输入文本
Click this and Press any button to bind (Ctrl + No to set controller number)|kor$클릭하고 버튼을 눌러 할당 (Ctrl + 숫자로 컨트롤러 번호 설정)|spa$Haz click y presiona cualquier botón para asignarlo (Ctrl + No para seleccionar el número de mando)|fre$Cliquez ici puis appuyez sur une touche pour la lier|rus$Щелкните здесь и нажмите любую кнопку, чтобы настроить привязку (Ctrl + № для установки номера контроллера)|chi$单击并按任意键以绑定（Ctrl+未设定的手柄编号）
Click this and Press any key/button to bind (Esc to unbind)|kor$클릭하고 키/버튼을 눌러 할당 (Esc로 미할당)|spa$Haz click y presiona cualquier botón / tecla para asignarla (Esc para desasignarla)|fre$Cliquez ici puis appuyez sur une touche/un bouton pour le lier|rus$Щелкните здесь и нажмите любую кнопку, чтобы настроить привязку (Esc, чтобы отменить привязку)|chi$单击并按任意键以绑定（Esc以解绑）
Conflicting button with Vanilla Options|kor$기본 버튼과 충돌함|spa$Conflicto con botón / tecla del juego base|fre$Conflit du bouton avec une option officielle|rus$Кнопка конфликтует с оригинальными настройками|chi$和默认选项冲突的按键
Conflicting button with Mod named <AnotherModID>|kor$<AnotherModID> 모드와 버튼 충돌|spa$Conflicto con botón / tecla del juego Mod <AnotherModID>|fre$Conflit du bouton avec une option du Mod <AnotherModID>|rus$Кнопка конфликтует с модом <AnotherModID>|chi$和<AnotherModID>模组冲突的按键
<ConflictButton> button is already in use|kor$<ConflictButton> 버튼은 이미 사용중|spa$El botón <ConflictButton> ya está en uso|fre$Le bouton <ConflictButton> est déjà utilisé|rus$<ConflictButton> уже используется|chi$<ConflicButton>按键已经被占用
Click to choose this option|kor$클릭해서 이 옵션 선택|spa$Haz click para seleccionar esta opción|fre$Cliquez pour choisir cette option|rus$Нажмите, чтобы выбрать эту настройку|chi$单击以选择该选项 
Use Scroll Wheel or Scrollbar to see more|kor$스크롤휠 또는 스크롤바를 사용해서 더 보기|spa$Usa la rueda del ratón o la barra de desplazamiento para ver más|fre$Utilisez la molette de la souris ou la barre de défilement pour voir plus d'options|rus$Используйте колесо мыши или полосу прокрутки, чтобы увидеть больше|chi$使用滚轮或滚动条来查看更多
Use Scroll Wheel to see more|kor$스크롤휠을 사용해서 더 보기|spa$Usa le rueda del ratón para ver mas|fre$Utilisez la molette de la souris pour voir plus d'options|rus$Используйте полосу прокрутки, чтобы увидеть больше|chi$使用滚轮来查看更多
Click to open the list, Double Click to search|kor$클릭해서 목록을 펼치고, 더블클릭으로 검색|spa$Haz click para abrir la lista, doble click para buscar|fre$Cliquez pour ouvrir la liste, doucle-clic pour chercher|rus$Нажмите, чтобы открыть список, нажмите дважды для поиска|chi$单击以打开列表，双击以使用搜索
Scroll the list, Double Click to search|kor$스크롤해서 목록을 보고, 더블클릭으로 검색|chi$滚动列表，双击以使用搜索
Click and Type numbers, Use Arrows or Scrollwheel to adjust|kor$클릭해서 키보드로 입력하거나, 화살표와 스크롤휠로 조정|chi$单击并输入数值，使用鼠标或滚轮以调整

/// Hidden Comments ///
also shoutout to RW Discord for helping me out|kor$제작을 도와준 레인월드 디스코드에게도 감사를.|spa$Gracias al Discord de RW por ayudarme.|fre$merci également au Discord Rain World pour m'avoir aidé|rus$также благодарю RW Discord за помощь|chi$另外感谢雨世界Discord服务器的成员帮助我
check out pinned tutorial in modding-support|kor$레인월드 디스코드 modding-support 채널에 고정된|spa$Mira el tutorial que está pineado en modding-support|fre$consultez le tutoriel épinglé dans #modding-support|rus$посмотрите закрепленное руководство в #modding-support|chi$查看modding-support中的已标注消息
and create your own config screen!|kor$튜토리얼을 보시고 자작모드의 설정 메뉴를 만드세요!|spa$y crea tu propia pantalla de configuración!|fre$et créez votre propre écran de configuration!|rus$и создавайте свое собственное окно конфигурации!|chi$并创造你自己的配置界面！
